Page,Line,Word,Information,media,Bookmarks
"احدث ذلك عمر بعد فتح القادسية: 
وفي السنة ١٤ هـ - ٦٣٥ م ذكر المسعودي انه لما سير عمر بن الخطاب جيشا الى القادسية في حرب الهرماز باتت الاسلام في وجل عظيم من الاعجام واشتد رعب رؤوساء القبائل فامر عمر في ذلك الوقت بصلاة التراويح .
(كتاب الغرر الحسان في تواريخ احداث الازمان، الامير حيدر احمد الشهابي، ج/1، صـ28)",6,,110,,
افتتحت القادسية وانهزم كسرىٰ وجنوده... والرواية طويلة ومعجزة امير المؤمنين عليه السلام في ذلك ظاهرة واٰياته باهرة: -,9,,110,,
"ابتداء الفتح بالعراقين: 
كانت وقعة القادسية بالعراق في اخر السنة فيما بلغنا ، وكان على الناس سعد بن ابي وقاص، وعلى المشركين رستم ومعه الجالينوس وذو الحاجب.
قال ابو وائل : كان المسلمون ما بين السبعة الى الثمانية الاف ، ورستم في ستين الفا ، وقيل : كانوا اربعين الفا ، وكان معهم سبعون فيلا .
وذكر المدائني انهم اقتتلوا قتالا شديدا ثلاثة ايام في اخر شوال ، وقيل : في رمضان ، فقتل رستم وانهزموا، وقيل : ان رستم مات عطشا، وتبعهم المسلمون، فقتل جالينوس وذو الحاجب، وقتلوهم ما بين الخرار الى السيلحين الى النجف، حتى الجئوهم الى المدائن ، فحصروهم بها حتى اكلوا الكلاب ، ثم خرجوا على حامية بعيالهم ، فساروا حتى نزلوا جلولاء .
قال ابو وائل : اتبعناهم الى الفرات فهزمهم الله ، واتبعناهم الى الصراة فهزمهم الله ، فالجأناهم الى المدائن… وقال المدائني : ثم سار سعد من القادسية يتبعهم، فاتاه اهل الحيرة فقالوا : نحن على عهدنا . واتاه بسطام فصالحه ، وقطع سعد الفرات ، فلقي جمعا عليهم بصبهرا ، فقتله زهرة بن حوية، ثم لقوا جمعا بكوثا عليهم الفيرزان فهزموهم، ثم لقوا جمعا كثيرا بدير كعب عليهم الفرخان فهزموهم، ثم سار سعد بالناس حتى نزل المدائن فافتتحها. 
(سير اعلام النبلاء، ج/2، دار الحديث، صـ426)
***
قال ابو عبيدة معمر بن المثنى: لما فرغ سعد بن ابي وقّاص من وقعة رستم بالقادسية وضمّن ارباب القرى ما عليهم بعث من احصاهم ولم يسمهم حتى يرى عمر فيهم رأيه، وكان الدهاقين ناصحوا المسلمين ودلوهم على عورات فارس واهدوا لهم واقاموا لهم الاسواق ثم توجه سعد نحو المدائن الى يزدجرد وقدم خالد بن عرفطة حليف بني زهرة بن كلاب فلم يقدر عليه سعد حتى فتح خالد ساباط المدائن ثم توجه الى المدائن فلم يجد معابر فدلوه على مخاضة عند قرية الصيادين اسفل المدائن فاخاضوها الخيل حتى عبروا وهرب يزدجرد الى اصطخر فاخذ خالد كربلاء عنوة وسبى اهلها فقسّمها سعد بين اصحابه ونزل كل قوم في الناحية التي خرج بها سهمه فاحيوها. 
(معجم البلدان، ج/4، صـ491) 


(Depiction of the battle of Qadisiyyah from a manuscript of the Persian epic Shahnameh,1614,Source-_British_Library_(MS._I.O.Islamic_3265_(1614)_f._602r))",10,,110,,
ملكه يملكه مَلكا ومُلكا ومِلكا,12,,110,,
"فمن تطوع من الصلٰوة بما شاء بغير امام في شهر رمضان او في غيره ففي ذلك فضل: 
واما النافلة فليس لها حد وهي تطوع يصلي من شاء منها ما شاء في الاوقات التي تجوز فيها الصلٰوة من ليل او نهار وكان علي بن الحسين يصلي في كل يوم وليلة الف ركعة في تمكن. 
(كتاب مختصر الاٰثار، ج/1، صـ 165)
واما النافلة فهي تطوع وليس لها حد، من شاء تطوع بما شاء من الصلوٰة في وقت تجب فيه الصلوٰة من ليل او نهار وفي ذلك ثواب عظيم على قدر ما يتطوع به المتطوع. 
(كتاب دعائم الاسلام، ج/1، صـ354)",14,,110,,
"وقد ورد من الرغائب في صلٰوة ليلة القدر في العشر الاواخر من شهر رمضان ما يطول شرحه: 
انظر: ذكر ليلة القدر في كتاب دعائم الاسلام للداعي الاجل سيدنا القاضي النعمان بن محمد رض، ج/1، صـ476.",16,,110,,
"البرقي: 
ابو جعفر البرقي احمد بن محمد بن خالد بن عبد الرحمن بن محمد بن علي البرقي، ابو جعفر، الكوفي الاصل؛ كان يوسف بن عمر الثقفي والي العراق من قبل هشام بن عبد الملك قد حبس جده محمد بن علي بعد قتل زيد بن علي ثم قتله، وكان خالد صغير السن فهرب مع ابيه عبد الرحمن الى برقة فاقاموا بها… وصنف كتبًا كثيرة منها : كتاب «الابلاغ» كتاب التراحم والتعاطف». كتاب ادب النفس». كتاب المنافع». كتاب ادب المعاشرة وغيرها من الكتب.
(كتاب الوافي بالوفيات، صلاح الدين الصفدي، ج/7، صـ255)",1,,111,,
عبد الله بن القاسم:,1,,111,,
حيان:,2,,111,,
السراج:,2,,111,,
داود بن سليمان الكسائي:,2,,111,,
"ابي الطفيل:
‌‌ابُو الطُّفَيْل (3 - 100 هـ = 625 - 718 م): هو عامر بن واثلة بن عبد الله بن عمرو، الليثي الكناني القرشي، ابو الطفيل: شاعر كنانة، واحد فرسانها، ومن ذوي السيادة فيها، ولد يوم وقعة احد، وروى عن النبي صلى الله عليه وسلم تسعة احاديث، وحمل راية علي بن ابي طالب، في بعض وقائعه، وعاش الى ايام معاوية، وما بعدها، وكتب اليه معاوية، يلاطفه، فوفد عليه الى الشام، ثم خرج على بني امية مع المختار الثقفي، مطالبا بدم الحسين.
ولما قُتل المختار، انزوى عامر الى ان خرج ابن الاشعث، فخرج معه، وعاش بعد ذلك الى ايام عمر بن عبد العزيز، فتوفي بمكة، وهو اخر من مات من الصحابة.
(كتاب الاعلام للزركلي، ج/3، صـ256)",2,,111,,
"من ولد هارون: 
اسماء ابناء هارون النبي صلى الله عليه وسلم، قيل وباسمائهم سمى النبي صلى الله عليه وسلم اولاده الحسن والحسين والمحسن، كذا جاء في بعض الروايات وقال ابن بري ووجدت ابن خالويه قد ذكر شرح هذه الاسماء فقال شبر وشبير ومشبر هم اولاد هارون عليه السلام معناها بالعربية حسن وحسين ومحسن، قال وبها سمى علي رضي الله عنه اولاده شبر وشبير ومشبر يعني حسنا وحسينا ومحسنا رضي الله عنهم. 
(شرح القاموس المسمى بتاج العروس، ج/3، صـ297)
***
This is the family history of Aaron and Moses at the time when the Lord spoke with Moses on Mount Sinai.
 These are the names of Aaron’s sons: Nadab the firstborn, Abihu, Eleazar, and Ithamar. These are the names of Aaron’s sons, the anointed priests, whom he ordained to serve as priests.
 Nadab and Abihu died in the presence of the Lord when they offered unauthorized fire before the Lord in the Wilderness of Sinai, and they had no sons. So Eleazar and Ithamar served as priests in the presence of Aaron their father.
(The Holy Bible, Evangelical Heritage Version, 35)",5,,111,,
هاروني: -,14,,111,,
"بالالٰه الذي تعبد:
Yahweh, name for the God of the Israelites, representing the biblical pronunciation of “YHWH,” the Hebrew name revealed to Moses in the book of Exodus. The name YHWH, consisting of the sequence of consonants Yod, Heh, Waw, and Heh, is known as the tetragrammaton.
After the Babylonian Exile (6th century bce), and especially from the 3rd century bce on, Jews ceased to use the name Yahweh for two reasons. As Judaism became a universal rather than merely a local religion, the more common Hebrew noun Elohim (plural in form but understood in the singular), meaning “God,” tended to replace Yahweh to demonstrate the universal sovereignty of Israel’s God over all others. At the same time, the divine name was increasingly regarded as too sacred to be uttered; it was thus replaced vocally in the synagogue ritual by the Hebrew word Adonai (“My Lord”), which was translated as Kyrios (“Lord”) in the Septuagint, the Greek version of the Hebrew Scriptures.
(Britannica Editors. ""Yahweh"". Encyclopedia Britannica, 18 Oct. 2025)",16,,111,,
"قتل احد ابني اٰدم اخاه:
هما ابنا آدم لصلبه قابيل وهابيل، أوحى اللَّه إلى آدم أن يزوّج كل واحد منهما توأمة الآخر، وكانت توأمة قابيل أجمل واسمها «إقليما» فحسد عليها أخاه وسخط، فقال لهما آدم: قرّبا قربانا، فمن أيكما تقبل زوّجها، فقبل قربان هابيل بأن نزلت نار فأكلته فازداد قابيل حسدا وسخطا، وتوعده بالقتل. 
(الكشاف للزمخشري، ج/2، صـ224)",4,,112,,
طمثت: تطمُث وتطمَث المرأة حاضت.,4,,112,,
"العين التي ببيت المقدس:
גִיחוֹן Gíchón:
Spring in Jerusalem. gichon, ""Gihon,"" is the name of a spring in Jerusalem, the modern 'Ain Umm ed-Dereğ, ""the spring of steps, which Christians called 'Ain Sitti Maryam, ""the spring of Mary."" The cognate verb giach, ""to burst forth,"" is used of the bursting forth of water from the ""womb"" in Job 38:8, and in a similar mythical way in 40:23. Therefore, it probably means ""to gush forth.""
The fact that Gihon is a proper name shows that a spring was of great importance to a city. But this can also be concluded from the extensive tunnel system of accesses and diversions in Ophel, which to some extent come from the pre-Israelite period. These probably played a role in David's conquest of Jerusalem (cf. the corrupt text in 2 S. 5:8 with the tsinnor interpreted as a ""water shaft""). Since there is an old wall tower above the Gihon spring, Kenyon thinks that the water gate of Old Jerusalem was located here, which was used in peace time but was closed in war time. According to 2 K. 25:4, apparently a conduit led the outflow of the Gihon spring along the hillside to water the ""king's garden."" Finally, Hezekiah built the most magnificent tunnel in Jerusalem to guard against the Assyrian threat; he ""closed the upper outlet of the waters of Gihon and directed them down to the west side of the city of David"" (2 Ch. 32:30; cf. also vv. 3f. and 33:14). Thus, Hezekiah's tunnel brought the water of the Gihon spring from the Kidron Valley to the Tyropoeon Valley, where the modern Pool of Siloam is located (originally this pool was probably a covered water reservoir). From this point, the water flowed into another underground canal along the western slope of Ophel toward the south. The Siloam Inscrip-tion, which was discovered in 1880, attests to the joy of those who built the tunnel over the success of their work. The Gihon spring was the place where Solomon was anointed king-an important event in Israel's history (1 K. 1:33-40).
(G. Johannes Botterweck and Helmer Ringgren, Theological Dictionary Of The Old Testament, Library of Congress, 1975, 466)",6,,112,,
"عين الحيٰوة التي وقف عليها موسىٰ وفتاه ومعهما النون المالح فسقط فيها فحي: 
-",6,,112,,
"اول شيء اهتز على وجه الارض الشجرة التي كانت منها سفينة نوح عليه السلام وهي الزيتونة: 
-",8,,112,,
"الشجرة التي نزلت مع اٰدم من الجنة وهي العجوة: 
وكان صلع يحب التمر ويقول العجوة من الجنة واذا قدم اليه الطعام وفيه تمر بدأ به وكان يفطر عليه.
(مختصر الاٰثار، ج/2، صـ116) 
وعن رسول الله صلع انه كان يحب التمر ويقول العجوة من الجنة، وكان يضع التمرة على اللقمة ويقول هذه ادام هذه. 
(كتاب دعائم الاسلام، ج/2)",10,,112,,
"في كتاب ابي هارون كتابته بيده واملاء عمي موسىٰ بن عمران: 
-",11,,112,,
"في جنة عدن التي قال الله عز وجل قضيب غرسته في جنة عدن فقلت له كن فكان: 
عن علي بن أبي طالب، قال: قال رسول الله - صلى الله عليه وسلم -: ""جنةُ عدنٍ قَضِيبٌ غرسه الله بيده، ثم قال له: كُن فكان""
(موسوعة التفسير بالمأثور، مركز الدراسات والمعلومات القراٰنية، ج/12، صـ98)
عن خالد بن مَعدان، قال: إنّ اللهَ خلَق الجنةَ -جنةَ عدنٍ- دَمْلَج لؤلؤةً، وغرَس فيها قضيبًا، ثم قال لها: امتدَّي حتى أرْضى، ثم قال لها: أخرِجي ما فيكِ مِن الأنهارِ والثمارِ. ففعَلتْ، فقالتْ: قَدْ أفْلَحَ المُؤمِنُونَ. 
(موسوعة التفسير بالمأثور، مركز الدراسات والمعلومات القراٰنية، ج/10، صـ518)",17,,112,,
"سعيد بن داود المدني:
سعيد بن داود بن سعيد بن أبي زنبر الزنبري ، أبو عثمان المدني، سكن بغداد وقدم الري، روى عن : سفيان بن عيينة ، وعامر بن صالح الزبيري ، وأبي بكر عبد الحميد بن أبي أويس ، وعبد العزيز بن محمد الدراوردي ، ومالك بن أنس ، وأبي شهاب الحناط .
روى عنه : البخاري في "" الأدب ""، واستشهد به في "" الجامع "" وإبراهيم بن إسحاق الحربي، وإبراهيم بن الوليد الجشاش، وأحمد بن منصور الرمادي ، وأحمد بن الهيثم بن خالد البزاز ، وأحمد بن يوسف التغلبي وغيرهم…قال الحافظ أبو بكر الخطيب : سكن بغداد ، وحدث بها عن مالك بن أنس…قال: وذكر أبو حاتم الرازي أنه سأل ابن أبي أويس عنه، فقال : قد لقي مالكا ، وكان أبوه وصي مالك، وأثنى على أبيه خيرا… وقال أبو إسماعيل الأنصاري الهروي : الزنبري مدني من خيارهم، كان عند مالك حظيا، خصه بأشياء من حديثه. 
(تهذيب الكمال في اسماء الرجال، ج/10، صـ418)",9,,113,,
"ابي حازم:
واسمه سلمة بن دينار مولى لبنى شِجْع من بنى لَيْث بن بكر بن عبد مناة بن كنانة. وكان اعرج، وكان عابدًا زاهدًا، وكان يقصّ بعد الفجر وبعد العصر في مسجد المدينة. وقدم سليمان بن هشام بن عبد الملك المدينة فاتاه الناس، وبعث الى ابي حازم فاتاه، وَسَاءَلَهُ عن امره وعن حاله، وقال له: يا ابا حازم ما مالك؟ قال: لي مالان. قال: ما هما؟ قال: الثقة بالله، واليأس مما في ايدى الناس.
قال: وقال عبد الله بن صالح، وعن ليث بن سعد، عن ابي حازم، قال: اني لادعو الله في صلاتى حتى بالملح.
وقال محمد بن عمر: قالت امرأة ابي حازم لابي حازم: هذا الشتاء قد هجم علينا، ولابد لنا مما يصلحنا فيه، فذكرت الثياب والطعام والحطب. فقال: من هذا كله بد، ولكن خذى ما لابد منه، الموت، ثم البعث، ثم الوقوف بين يدى الله، ثم الجنّة والنار.
وقال محمد بن عمر: وكان لابي حازم حمار، فكان يركبه الى مسجد رسول الله، صلى الله عليه وسلم، لشهود الصلوات، وتوفى ‌ابو ‌حازم في خلافة ابي جعفر بعد سنة اربعين ومائة. وكان ثقة كثير الحديث.
(كتاب الطبقات الكبير للزهري، ج/7، صـ515)",10,,113,,
"نجران: 
نَجْرَانُ: بالفتح ثم السكون، واٰخره نون، والنجران في كلامهم: خشبة يدور عليها رتاج الباب، وانشدوا:
وصيت الباب في النجران حتى * تركت الباب ليس له صرير
وقال ابن الاعرابي: يقال لانف الباب الرتاج ولد رونده النّجاف والنجران ولمترسه المفتاح، قال ابن دريد: نجران الباب الخشبة التي يدور عليها، ونجران في عدة مواضع، منها: نجران في مخاليف اليمن من ناحية مكة، قالوا: سمي بنجران بن زيدان بن سبإ بن يشجب بن يعرب بن قحطان لانه كان اول من عمرها ونزلها وهو المرعف وانما صار الى نجران لانه رأى رؤيا فهالته فخرج رائدا حتى انتهى الى واد فنزل به فسمي نجران به، كذا ذكره في كتاب الكلبي بخط صحيح زيدان بن سبإ، وفي كتاب غيره زيد، روى ذلك الزيادي عن الشرقي. 
(معجم البلدان، ج/5، صـ266)
***
NADJRAN, a city in northern Yaman and a major urban centre in the Arabian Peninsula in ancient times. It was an agricultural, an industrial, and a trade centre, owing all this to the facts of geography. It was celebrated for its cereals, fruits and vegetables and also for its leather and textiles, situated as it was in the midst of a fertile wādī, which also bore the name Nadjrān. Its importance as a caravan city was owed to the fact that it was located at the intersection of two main caravan routes, one that ran from Hadramawt through Hidjāz to the eastern Mediterranean and an-other that ran to the northeast through Yamāma into Mesopotamia-Irāk.
It was important enough early in the 4th century A.D. to attract the attention of Imru' al-Kays, ""king of all the Arabs"" (d. A.D. 328), and three centuries before, it was captured by Aelius Gallus, whom Augustus dispatched against South Arabia. But it was really in the 6th century that it attained international fame through an extraordinary sequence of events, the prime mover of which was the introduction of Christianity into the city in the previous century, by one of its native merchants (Hayyan or Hannān).
Although the initial Christian impulse came from Hīra, where Hayyān was baptised, other Christian missionary currents converged on Nadjrān from Byzantine Syria and from Ethiopia, all of which made Nadjrān the main centre of Christianity in South Arabia. Various Christian denominations existed side-by-side in Nadjrān, but Monophysitism was the one that prevailed… Ancient pre-Islamic Nadjrān, nowadays called Ukhdūd, survives as a heap of ruins to the southeast of the present-day city of Nadjran, which is in the province of 'Asīr [q.v.] in Saudi Arabia, but in the consciousness of mediaeval Christendom it vividly survived as the city of the Arab martyrs, as it still does in the churches of the Christian Orient.
(Irfan Shahid, EOI, Volume VII, 871)",11,,113,,
"ان ارضنا باردة: 
Najran is located in the southwestern part of the Kingdom of Saudi Arabia, specifically on the eastern boundary of the Arabian Shield, extending deep into the southern Arabian Peninsula. It lies approximately at longitude 44°20 and latitude 17°30. The region spans around 36,500 square kilometers, much of which is desert — especially in the Sharurah Governorate, which administratively belongs to the Najran region. Elevations in Najran range from 900 to 1,800 meters above sea level. The area is bordered by towering mountains to the north and south, gradually sloping eastward into the sands of the Empty Quarter. The Najran Valley runs through the region from west to east, eventually merging into the desert in what is known as Ramlat Yam.
(https://www.nu.edu.sa/)",11,,113,,
"جنة عرضها كعرض السمٰوات والارض:
﴿وجَنَّة عَرْضها السَّمَوات والأَرْض عَرْضها السَّمَوات والأَرْض﴾ ايْ كَعَرْضِهِما لَوْ وُصِلَتْ احْداهُما بِالاُخْرى والعَرْض السِّعَة.
(تفسير الجلالين للسيوطي، صـ85)",18,,113,,
"هو البحر حين انفلق لموسىٰ وبني اسرائيل:
ويقال: هذا البحر هو بحر القلزم، وقيل: هو بحر من وراء مصر، يقال له: اساف.
وقيل في تفسير الآية الشريفة: ﴿فَأوْحَيْنا إلى مُوسى أنِ اضْرِبْ بِعَصاكَ البَحْرَ﴾ بَحْرَ القُلْزُمِ اوِ النِّيلِ.
(راجع: تفسير الكشاف للزمخشري، ج/3، صـ317، وانوار التنزيل واسرار التأويل للبيضاوي، ج/4، صـ140)",9,,114,,
هو القراٰن يجتمع عليها اهل الدنيا فيأخذون منه حاجتهم ولا ينقص منه شيء وكذلك ثمار الجنة:,16,,,,
"مشيمة:
هي غشاء ولد الاِنسان.
يقول اهل الطب في تعريفها: ‌المشيمة عضو شبه اسطواني ينمو متصلًا بباطن جدار الرحم عند معظم الثدييات.
تمد ‌المشيمة الجنين بالطعام والاكسجين، وتسحب نتاج نفايات الجنين، كما ان العضو ينتج كيميائيات تُسمى هورمونات تحافظ على الحمل وتنظم نمو الجنين.
وللمشيمة ثلاث وظائف رئيسية هي:
1 - تغذية الجنين: اذ تمد ‌المشيمة الجنين بالطعام والاكسجين، وتسحب نتاج نفايات الجنين، كما ان العضو ينتج كيميائيات تُسمى هورمونات تحافظ على الحمل وتنظم نمو الجنين.
2 - التنفس: اذ ان ‌المشيمة تقوم بوظيفة الرئتين، فيحصل الجنين بواسطتها على الاكسجين ويطرح ثاني اكسيد الكربون
3 - تثبيت الحمل: وذلك بفرزها هرمون البروجسترون الذي يساعد على استمرار الحمل.
(راجع: شمس العلوم ودواء كلام العرب من الكلوم لابن سعيد الحميري، صـ3600، وكتاب الفقه الميسر، . ا. د. عَبد الله بن محمد الطيّار، ا. د. عبد الله بن محمّد المطلق، د. محمَّد بن ابراهيم الموسَى، ج/12، صـ114)",5,,115,,
"محمد بن يوسف الكندي الطحاّن: - 
ابو عمر الكندي محمد بن يوسف بن يعقوب بن حفص بن يوسف بن نصير ابو عمر الكندي مصنف تاريخ مصر، توفي في شوال سنة خمسين وثلاثمائة تقريبًا.
(الوافي بالوفيات، صلاح الدين الصفدي، ج/5، صـ161)",1,,116,,
جعفر بن سرح الحضرمي:,2,,116,,
"مالك بن اعين الجهني:
 عده الشيخ (تارة) في اصحاب الباقر عليه السلام ، و (اخرى) في اصحاب الصادق عليه السلام باضافة قوله: «الكوفي، مات في حياة ابي عبد الله عليه السلام»، وعده البرقي ايضاً (تارة) في اصحاب الباقر عليه السلام، (واخرى) في اصحاب الصادق عليه السلام، مضيفاً على العنوان في الثاني قوله: «عربي كوفي»… و قال الشيخ المفيد(قدس سره): «و قال مالك بن اعين الجهني، يمدحه (الباقر ).
اذا طلب الناس علم القرآن * كانت قريش عليه عيالا
و ان قيل اين ابن بنت النبي * نلت بذاك فروعا طوالا
نجوم تهلل للمدلجين * جبال تورث علما جبالا
… مالك بن اعين الجهني لا ينبغي الشك في كونه شيعيا، اماميا، حسن العقيدة، ومع ذلك لا يحكم بوثاقته لعدم الشهادة على ذلك، بقي هنا امران: الاول: انك عرفت من الشيخ، و البرقي، و ستعرف من المشيخة ايضا، انه كوفي، ولكن تقدم عن الكشي، عن ابن الفيروزان القمي، انه بصري، و لعله من جهة الاختلاف في المولد و المسكن. والثاني: انك عرفت ان الشيخ صرح بانه مات في حياة الصادق(ع). 
(معجم رجال الحديث، السيد ابو القاسم الموسوي الخوئي، ج/15، صـ161)",2,,116,,
"العشرة التي لا حادي عشر لها فالايام التي واعد فيها موسىٰ بن عمران عليه السلام، قال الله تعالى ""ووعدنا موسىٰ ثلٰثين ليلة واتممناها بعشر"":
وروى ان موسىٰ عليه السلام وعد بنى اسرائيل وهو بمصر ان اهلك الله عدوّهم، اتاهم بكتاب من عند الله فيه بيان ما يأتون وما يذرون، فلما هلك فرعون سأل موسىٰ ربه الكتاب، فامره بصوم ثلاثين يوماً وهو شهر ذي القعدة، فلما اتم الثلاثين انكر خلوف فيه فسوك، فقالت الملائكة: كنا نشم من فيك رائحة المسك فافسدته بالسواك. وقيل: اوحى الله تعالى اليه اما علمت ان خلوف فم الصائم اطيب عندي من ريح المسك، فامره الله تعالى ان يزيد عليها عشرة ايام من ذى الحجة لذلك. وقيل: امره الله ان يصوم ثلاثين يوماً، وان يعمل فيها بما يقرّبه من الله ثم انزلت عليه التوراة في العشر وكلم فيها. 
(الكشاف للزمخشري، ج/2، صـ500)",8,,117,,
"ديوان المسلمين:
DIWAN… a register, or an office. Sources differ about linguistic roots. Some ascribe to it a Persian origin from dev, 'mad' or 'devil', to describe secretaries. Others consider it Arabic from dawwana, to collect or to register, thus meaning a collection of records or sheets. (See Kalkashandi, Subh, i, 90; LA, xvii, 23-4; Şüli, Adab al-kuttab, 187; Mawardi, al-Ahkam al-sulțāniyya, 175; Djahshiyārī, Wuzarā, 16-17; cf. Balādhuri, Futūh, 449). However, in administration, the term first meant register for troops (cf. Şüli, op. cit. 190; Kindi, Wulat, 86; Balādhuri, Futuh, 454) and then any register. Only later was it used for office. It seems that the idea is foreign, but the term itself was in use earlier…
This first diwan was the diwan al-djund. The register covered the people of Medina, the forces that participated in the conquests and those who emigrated to join garrisons in the provinces, together with their families. Some mawali were included in the register, but this practice was not continued. With the names, pay and rations were indicated (Abū 'Ubayd, al-Amwal, nos. 562, 567, 568; Tabari, iv, 163). A committee of three genealogists carried out the registration, by tribes, and pay depended on past services to Islam and relationship to the prophet. Registration by tribes continued till the end of the Umayyad period. (Abū Yusuf, 24, 26-7; Ţabarī, iv, 162-3; Yaķūbi, Tarikh, ii, 132; Abū 'Ubayd, Amwal nos. 569, 520, 577; Baladhuri, Futūh 450 ff.; 457-9, Makrīzi, Khițat, i, 149-50). Similar diwāns (of djund) were set up in provincial capitals like Başra, Kūfa and Fusțâț (cf. Djahshiyārī, 21, 23; Thaʻalibi, Lataif, 59). Besides, Byzantine and Sāsānian diwāns of Kharādj continued to function in the provinces as before (Djahshiyārī, 38; cf. 3).
(A.A. Duri, EOI, Volume II, 323)",14,,117,,
وقد ذكر النعمان بن محمد التميمي والداعي حاتم بن ابراهيم الحامدي فيما صنفاه كثيرا من ذلك:,1,,118,,
كثير من الشيعة المصنفين:,3,,118,,
غيرهم من المصنفين:,3,,118,,
"ابو وداعة السهمي:
ابو وداعة واسمه الحارث بن صبيرة بن سعيد بن سعد بن سهم بن عمرو، وامه خالدة بنت ابي قيس بن عبد مناف بن زهرة فولد ابو وداعة المطلب وابا سفيان والربعة وام حكيم وام حبيب، وامهم اروى بنت الحارث بن عبد المطلب بن هاشم بن عبد مناف بن قصي، وكان ابو وداعة فيمن شهد بدرا مع المشركين فاسر فيمن اسر، فقال رسول الله صلى الله عليه وسلم: ان له بمكة ابنا كيسا له مال، وهو مغل فداءه فخرج المطلب بن ابي وداعة من مكة فسار الى المدينة اربع ليال فافتدى اباه باربعة الاف درهم، وكان ابو وداعة اول من افتدي من الاسرى، فتأسَت به قريش في اسراهم. واسلم ابو وداعة يوم الفتح، وبقي الى (تغلب) خلافة عمر بن الخطاب.
(الطبقات الكبرى- متمم الصحابة- لابن سعد، ج/1، صـ381)",11,,118,,
"حتى انتهى الى الموضع الذي كان فيه في الجاهلية فوضعه فيه:
قال : أخبرنا محمد بن عمر ، عن معمر ، عن حميد بن قيس ، عن مجاهد قال : قال عمر بن الخطاب: من له علم بموضع المقام حيث كان؟  فقال أبو وداعة بن صبيرة السهمي : عندي يا أمير المؤمنين ، قدرته إلى الباب وقدرته إلى ركن الحجر ، وقدرته إلى الركن الأسود ، وقدرته إلى زمزم ، فقال عمر : هاته ، فأخذه عمر فرده على موضعه اليوم للمقدار الذي جاء به أبو وداعة. 
(الطبقات الكبرى- متمم الصحابة لابن سعد، ج/1، صـ382)",12,,118,,
انا وانتم في هذا المال كولي اليتيم:,15,,118,,
"ولم يضع رسول الله صلى الله عليه انما كانت تفعل ذلك الملوك من الاكاسرة والقياصرة:
Aerarium, treasury of ancient Rome, housed in the Temple of Saturn and the adjacent tabularium (record office) in the Forum. Under the republic (c. 509–27 bc) it was managed by two finance officials, the urban quaestors, and controlled by the Senate. In theory, all revenues were paid into the aerarium, and all public payments were made from it… It also served as an archive where laws, decrees, and acta of the Senate—as well as certain other kinds of documents—were stored and could be consulted by authorized persons…In ad 6 the emperor Augustus founded a second treasury, the aerarium militare (military treasury). The old treasury was thereafter known as aerarium Saturni, eventually becoming the municipal treasury of the city of Rome. The new treasury’s function was to pay bounties to discharged veterans or purchase land for them. It was supplied with funds from taxes (sales, inheritance, and property) collected by the emperor’s procurators and was administered by three former praetors.
(Badian, E., Encyclopedia Britannica, 6 Jun. 2016)",3,,119,,
"فضل الناس بعضهم على بعض في القسمة:
قسم عمر وتفضيله على السابقة والنسب صنيعه في ذلك وذكر الرواتب التي فرضها على السابقة والنسب:
اخرج بن ابي شيبة، والبزار، والبيهقي عن عمر مولى غَفْرة…فلما مات ابو بكر عنه(تغلب) استخلف عمر ففتح … فجاءه اكثر من ذلك، قال: قد كان لابي بكر في هذا المال رأي ولي رأي اٰخر، لا اجعل من قاتل رسول الله صلى الله عليه وسلم كمن قاتل معه؛ ففضَّل المهاجرين والانصار، ففرض لمن شهد بدراً منهم خمسة اٰلاف خمسة اٰلاف، ومن كان اسلامه قبل اسلام اهل بدر فرض له اربعة اٰلاف اربعة اٰلاف، وفرض لازواج رسول الله صلى الله عليه وسلم اثني عشر الفًا. 
(حياة الصحابة، محمد يوسف الكاندهلوي، ج/2، صـ480)",8,,119,,
فضل العرب على العجم:,9,,119,,
