Page,Line,Word,Information,media,Bookmarks
3,15,ثم تمثل عليه السلام بهذا البيت,"واما البيت الذي تمثل به ، فإنه للاعشى الكبير، اعشى قيس، وهو ابو بصير ميمون بن قيس بن جندل، من القصيدة التي قالها في منافرة علقمة بن عُلاثة وعامر بن الطفيل، واولها:
 علقتم ما انت إلى عامر *  الناقص الاوتار والواتر
يقول فيها: …
شثان ما يومي على كورها * ويوم حيان اخي جابر
ارمي بها البيداء ذا فجرت * وانت بين القروِ والعاصِر
في مِجدَلٍ شُيِّدَ بنيانه * يزل عنه ظُفُرُ الطَّائِر
تقول: شتان ما هما، وشتان هما، ولا يجوز: شتان ما بينهما، الا على قول ضعيف، وشتان: أصله شتت، كوَشْكَان ذا خروج، من وَشَك.
وحيّان وجابر ابنا السمَين الحنفيّان،…، يقول: شتان يومي وانا في الهاجرة والرمضاء، اسير على كور هذه الناقة - والكور رحل الناقة - ويوم حيّان وهو في سكرة الشراب، ناعم البال، مرفّه من الاكدار والمشاق.
 (شرح نهج البلاغة لابن ابي الحديد، صـ105)",,
3,16,لشَدَّ ما تشطَّرا ضرعيها,"(ح) ""اي جِدًّا""،
وقوله عليه السلام: ""لشد ما تشطرا ضرعيها""، شدّ اصله "" شَدَدَ ""، كقولك: حبَّ في ""حبذا"" اصله حبب، ومعنى ""شد"" صار شديدا جدا، ومعنى ""حب"" صار حبيبا، قال البحتري:
شد ما اغريت ظلوم بهجري * بعد وجدي بها وقلة صبري
وللناقة اربعة اخلاف: خِلفان قادمان وخِلفان آخران، وكل اثنين منهما شطر.
وتشطرا ضرعيها: اقتسما فائدتهما ونفعهما، والضمير للخلافة، وسمى القادمَين معًا ضَرعًا، وسمى الآخرَين معًا ضَرعًا لمَّا كانا -لتجاورهما، ولكونهما لا يحُلَبَان الا معًا- كشئ واحد. 
(شرح نهج البلاغة لابن ابي الحديد، صـ107)",,
3,17,في حوزة خشناء…ويخشن مسُّها,"إن قيل: قد قال عليه السلام ""في حوزة خشناء""، فوصفها بالخشونة، فكيف عاد ذكر الخشونة ثانية فقال: ""يخشن مسها""!
قيل: الاعتبار مختلف، لان مراده بقوله "" في حَوزَةٍ خَشنَاءَ "" اي لا ينال ما عندها ولا يرام، يقال: ان فلانًا لخشِنُ الجانب ووعر الجانب، ومراده بقوله: "" يخشن مسُّها "" اي تؤذي وتضر وتنكئ من يمسها، يصف جفاء اخلاق الوالي المذكور، ونفور طبعه وشدة بادرته. 
(شرح نهج البلاغة لابن ابي الحديد، صـ107)",,
3,18,يكثُر الاِعذار,"يقال: اَعذر الشخصُ اِعذارًا: اذا كثُرت ذنوبُه وعيوبُه، وعَذَر الشخصُ اَي قدَّم العُذرَ، فالاِعذارُ مصدرٌ والاَعذار جمعٌ، ويحتمل في كلمة ""الاعذار"" كلا التوجيهَين.",,
3,ح 17,"(ح) (فاَدلى بها) ""اي توسل""","قيل: اَدلى فلان برحِمِه: توسّل بها وتشفَّع، (حم) ""رفع""، قيل: اَدلى بمال فلان الى الحُكَّام: رفعه، وقيل: اَدلى بحقِّه وحجته: اَحضرَها.",,
3,ح 18,وردت كلمة عمر مصروفة في (ح),"كلمة ""عمر"" غير مصروفة للعلمية والعَدل، وقد وردت مصروفة في النسخة القديمة، 
قال ابن مالك: … وزعم قوم ان صرف ما لا ينصرف مطلقًا لغةٌ.
(تسهيل الفوائد وتكميل المقاصد لابن مالك، صـ224)
فمراد المصنف بقوله: وزعم قوم انَّ صرف ما لا ينصرف مطلقا لغة الى ما نقل عن الاخفش انه قال: من العرب من يصرف في الكلام جميع ما لا ينصرف.
(تمهيد القواعد بشرح تسهيل الفوائد لناظر الجيش ت778، صـ428)",,
4,1,خرم,"خرم فلانا: شقَّ وترة اَنفه، وهي ما بين منخريه",,
4,1,اَسلس,"اَرخَى الزمام، قيل: اَسْلَسَ الراكبُ القيادَ لفرسه جعله سلسا، اَرخاه.",,
4,1,بخبط وشماس وتلوُّن واعتراض,"والخَبْطُ: السير على غير جادة، وقيل: السير على غير معرفة، والشِّماسُ: النفار، شمس الفرس اَي منع ظهره،  والتَّلَوُّن: التبدل، والتلون في الاِنسان اَن لا يثبت في خلق واحد، والاعتِرَاضُ: السير لا على خط مستقيم، كأنه يسير عرضًا في غضون سيره طولًا، وانما يفعل ذلك البعير الجامح الخابط، وبعير عُرضِيٌّ: يعترض في مسيره، لانه لم يتم رياضته، وفي فلان عُرضِيَّةٌ، اي عَجرفة وصُعوبة.
 (شرح نهج البلاغة لابن ابي الحديد، صـ109)",,
4,5,فصغا رجل منهم لضغنه,"(حم) ""سعد بن (ابي) وقاص، ""رجل"" قيل: يعني طلحة""، (ح) ""(لضغنه) اي حقده"".
(شرح نهج البلاغة لابن ابي الحديد، ج/1، صـ189)",,
